id,name,team,teamType,status,authType,category,toolCount,monthlyToolCallCount,totalToolCallCount,featuredLevel,toolNames,starterMessages,description
"469","찐맛집","삼다수메타몽","INDIVIDUAL","APPROVED","NONE","커머스/쇼핑/배송","4","170","249","4","recommend_region|compare_places|show_report|show_last_report","라구식당 vs 플르서라구뜨 비교해줘.|신촌 파스타 3곳 추천해줘. 분위기가 중요해.|이석덕생면파스타 광고 리뷰 비율이랑 점수 자세히 알려줘.","찐맛집은 광고·협찬·제품제공·리뷰이벤트 문구가 포함된 리뷰 텍스트를 자동 감지해 점수 산정에서 제외하고, 남은 리뷰들의 텍스트 신호를 기반으로 신뢰도 높은 맛집 추천과 비교를 제공하는 MCP입니다. 맛·분위기·웨이팅·위생·서비스·가격 등 핵심 요소의 긍정/부정 언급을 분리해 점수화하며, 사용자가 중요하게 보는 기준(예: 분위기/맛)에 따라 가중치를 조정해 “지금 가서 만족할 확률이 높은 선택지”를 직관적으로 보여줍니다."
"59133914274378119","역대 국제 종합 경기","Chai","INDIVIDUAL","APPROVED","NONE","게임/엔터테인먼트/운세","6","21","21","3","search_games|get_korea_medal_summary|get_game_detail|get_olympic_country_ranking|get_country_olympic_medals|get_korea_medalists","1988 서울올림픽 한국 메달 몇 개?|역대 하계올림픽 한국 금메달 총합|2024 파리 올림픽 한국 메달","역대 국제종합경기대회 정보를 자연어로 질의합니다. 수록 데이터 - 대회 163건 (대한체육회 API): 1896년 제1회 아테네 하계올림픽부터 최근 파리 2024까지 · 하계올림픽 36건 / 동계올림픽 28건 / 유스올림픽 · 아시안게임 (하계·동계·실내·청소년) 34건 · 유니버시아드 (세계대학경기대회) 63건 · 동아시아경기대회 등 - 국가별 메달 누적 (Olympedia, IOC 공인 자료원): 하계+동계 통합 상위 30개국 - 최근 5개 올림픽 한국 메달리스트 (Olympedia, 99 메달): 2016 리우·2018 평창·2020 도쿄·2022 베이징·2024 파리 데이터 출처 - 대한체육회 (data.go.kr 3058129, 자동변환 OpenAPI, 연간 갱신) - Olympedia (IOC Olympic Studies Centre 공인, sports-reference 후속, 매주 자동 갱신)"
"154","네이버 검색 mcp","isnow890","INDIVIDUAL","APPROVED","NONE","커머스/쇼핑/배송","22","1712","2861","0","search_webkr|search_news|search_blog|search_shop|search_image|search_kin|search_book|search_encyc|search_academic|search_local|search_cafearticle|datalab_search|datalab_shopping_category|datalab_shopping_by_device|datalab_shopping_by_gender|datalab_shopping_by_age|datalab_shopping_keywords|datalab_shopping_keyword_by_device|datalab_shopping_keyword_by_gender|datalab_shopping_keyword_by_age|get_current_korean_time|find_category","네이버에서 테슬라 관련 최신 뉴스 검색해줄래?|제주도 맛집 검색해서 블로그, 지역 정보, 카페 글을 모두 보여줘|부산 해운대 숙소 로컬 검색 결과와 최근 여행 후기를 찾아줘","네이버 검색 API와 데이터랩 API를 AI에 연결하는 MCP 서버입니다. 검색 웹 · 뉴스 · 블로그 · 카페 · 쇼핑 · 이미지 · 지식iN · 책 · 백과사전 · 전문자료 · 지역 데이터랩 검색어 트렌드 / 쇼핑 인사이트 — 카테고리 · 기기 · 성별 · 연령 · 키워드별 분석 쇼핑 인사이트 분석에 필요한 카테고리코드를 자연어로 찾는 도구가 내장되어 있어 코드를 일일이 찾을 필요가 없어요. [깃허브] github.com/isnow890/naver-search-mcp"
"31","미국 주식 정보","https://gino.im","INDIVIDUAL","APPROVED","NONE","금융/투자/사업","9","750","2524","0","get_historical_stock_prices|get_stock_info|get_finance_news|get_stock_actions|get_financial_statement|get_holder_info|get_option_expiration_dates|get_option_chain|get_recommendations","엔비디아 관련 최신 금융 뉴스랑 애널리스트들의 투자 의견은 어때?|테슬라의 최근 분기별 손익계산서를 요약해 줘|팔란티어를 지금 살까말까?","미국 주식 종목들에 대해 실시간으로 분석하고 조회합니다. ▶ 매수/매도 의견, 최신 금융 뉴스, 주가 추이까지 한번에 확인하여 시장의 흐름을 놓치지 마세요. ▶ 주가, 재무제표, 기업 정보 등 핵심적인 투자 정보를 제공하여 깊이 있는 분석을 돕습니다. ▶ 미래 주가 = 현재 + 과거 의 정보 분석 입니다. ▶ 이 MCP 는 Yahoo Finance Data 를 사용합니다. 사용량에 따라서 일시적으로 조회되지 않을 수 있습니다"
"1","카카오톡 나챗방","Kakao","BUSINESS","APPROVED","NONE","생산성/문서/개발","1","696","5958","0","MemoChat","""빨리 퇴근하자""라고 나챗방에 보내줘|오늘의 쓸데없는 정보 하나 나챗방에 보내줘|오늘 점심 뭐 먹을지 랜덤으로 골라서 나챗방에 보내줘","카카오톡 나챗방에 텍스트 메시지를 보낼 수 있습니다. ► 할 일, 다짐, 메모 등 자유로운 내용을 메시지 형태로 남길 수 있습니다. ► “~라고 나챗방에 보내줘”와 같은 요청 문구를 사용하면, 해당 문장을 자동으로 나와의 채팅에 전송합니다. ► 특정 키워드나 명령어를 입력하면, AI가 적절한 텍스트를 생성해 나와의 채팅에 대신 보내줄 수도 있습니다. 예: “오늘의 명언 하나 나챗방에 보내줘”"
"61","아파트 정보","Kakao","BUSINESS","APPROVED","NONE","커머스/쇼핑/배송","5","343","3238","0","get_region_code|get_apt_list|get_apt_info|get_apt_info_bulk|get_apt_price","압구정 현대아파트의 주차 환경을 알려줘|판교 푸르지오그랑블이랑 판교 신미주 아파트 비교해줘|이번 달 마포구 아파트 평균 매매가 알려줘","지역 단위로 아파트 단지를 조회하고, 각 단지에 대한 상세 정보를 확인할 수 있습니다. - 특정 지역의 아파트 상세 정보를 조회할 수 있습니다. - 특정 아파트 가격을 조회할 수 있습니다. - 이 MCP 는 공공데이터를 사용합니다. 사용량에 따라서 일시적으로 조회되지 않을 수 있습니다"
"377","OpenDART MCP Server","김다윤","INDIVIDUAL","APPROVED","NONE","금융/투자/사업","14","244","615","0","find_company|search_disclosures|get_company_info|get_financial_account|get_full_financial_statement|get_dividend_info|get_executives|get_employees|get_largest_shareholders|get_financial_index|get_major_stock|get_executive_stock|get_capital_change|get_treasury_stock","삼성전자 2024년 재무제표 간단하게 보여줘|네이버 직원 평균 연봉 알려줘|카카오 ROE랑 부채비율 어때?","한국 금융감독원 전자공시시스템(DART) API를 MCP로 제공합니다. AI가 한국 상장기업의 공시, 재무정보, 기업정보를 실시간으로 조회할 수 있습니다. 주요 기능: • 기업 검색 (114,000+ 전체 기업) • 재무제표/재무지표 조회 (ROE, 부채비율 등) • 공시 검색 및 조회 • 임원/직원 현황 (평균 급여, 근속연수) • 최대주주/대량보유 현황 • 배당 정보, 증자/감자, 자기주식 현황 2023년~2025년 최신 데이터 모두 조회 가능!"
"332","PlayMCP 방탈출","........","INDIVIDUAL","APPROVED","NONE","게임/엔터테인먼트/운세","3","232","586","0","scenario_list|scenario_start|scenario_step","방탈출 시작할래. 시나리오 목록 보여주고 “느와르 사무실”로 시작해줘.|지금 화면에서 가능한 행동을 알려주고, 일단 책상부터 조사해줘.|내가 입력이 애매하면 멋대로 진행하지 말고, 선택지 2~3개로 되물어줘.","AI와 함께 텍스트로 즐기는 방탈출 게임 MCP입니다. 시작하면 사용 가능한 시나리오 목록을 보여주고, 사용자가 선택한 시나리오로 즉시 플레이를 시작합니다. 매 턴 AI가 현재 상황과 가능한 행동(선택지)을 안내하며, 사용자의 텍스트 입력을 바탕으로 다음 진행을 처리합니다."
"119","사람인","사람인","BUSINESS","APPROVED","NONE","채용/커리어/창업","7","215","2398","0","fetch_sub_job_categories|search_company_info|search_saramin_jobs|search_saramin_store_products|search_subway_info|fetch_job_categories|search_location_codes","서울 백엔드 개발자 공고 알려줘|카카오 기업정보 알려줘|신입 FE개발자 채용 공고 알려줘","사람인 서비스는 사람인의 채용 정보를 기반으로 원하는 직무와 지역의 채용 공고 및 기업 정보를 쉽게 탐색할 수 있도록 도와주는 AI 도구입니다. 복잡한 검색 조건을 직접 설정하지 않아도, 자연어로 질문하면 AI가 사용자의 의도를 이해해 적합한 채용 정보를 정리해 제공합니다. ▶︎ 관심 있는 직무나 직군을 기준으로 관련 채용 공고를 찾아볼 수 있습니다. ▶︎ 회사 이름이나 키워드를 입력해 기업 정보와 해당 기업의 채용 공고를 확인할 수 있습니다. ▶︎ 지역명이나 지하철역명을 기준으로 출퇴근을 고려한 채용 공고 검색이 가능합니다. ▶︎ 여러 조건을 조합해 나에게 맞는 채용 공고를 탐색하고, AI가 핵심 내용을 요약해 안내합니다. 본 서비스를 통해 AI가 답한 내용은 사실과 다를 수 있으므로 사용 시 꼭 재차 확인 바랍니다."
"3","카카오맵","Kakao","BUSINESS","APPROVED","NONE","여행/행사/문화/공연","4","205","4218","0","SearchPlaceByKeywordOpen|GetPublicTransitDirections|GetWalkDirections|GetBikeDirections","성수동 브런치 카페 추천해줘|판교에서 뚝섬까지 자전거로 가면 얼마나 걸려?|판교역 근처 약국 알려줘","카카오맵을 활용해 지정한 지역 기준으로 다양한 장소를 탐색하고 길찾기까지 도와줍니다. ► 입력한 장소나 키워드를 기준으로 맛집, 카페, 명소, 문화 공간 등을 추천받을 수 있습니다. ► 도보, 자전거, 대중교통 등 이동 수단에 따라 목적지까지의 최적 경로를 안내받을 수 있습니다."
